# logU  Z  xi  lnh  NV1240 NIV1486 CIV1548 CIV1551     HeII1640 OIII1661 OIII1666 NIII1750 SiIII1883 SiIII1888 CIII1909 MgII2796 MgII2803 NeIV2424 NeV3426  OII3727 NeIII3869     Hdelta Hgamma OIII4363 HeII4686 Hbeta OIII4959 OIII5007 HeI5876 OI6300 NII6548 Halpha NII6584 SII6717 SII6731 
-1.0 0.0002 0.1 2.0 81710.0 501300.0 37260000.0 18590000.0 897200.0 3415000.0 8368000.0 89850.0 1313000.0 779800.0 18430000.0 189300.0 117800.0 4693.0 30.37 726900.0 5431000.0        9068000.0 16380000.0 2847000.0 32200.0 34480000.0 20950000.0 63060000.0 3561000.0 5798.0 2736.0 98310000.0 8073.0 21470.0 16570.0
-1.0 0.0002 0.1 3.0 80060.0 487300.0 36500000.0 18190000.0 900200.0 3292000.0 8067000.0 84890.0 1299000.0 793600.0 17190000.0 185200.0 114700.0 4679.0 30.8 471900.0 5356000.0        9116000.0 16480000.0 2778000.0 32310.0 34690000.0 20670000.0 62210000.0 4705000.0 5934.0 2070.0 98590000.0 6107.0 13650.0 15950.0
-1.0 0.0002 0.1 4.0 81450.0 479800.0 36510000.0 18180000.0 903700.0 3191000.0 7823000.0 80610.0 1047000.0 821600.0 15950000.0 181400.0 111500.0 4494.0 30.5 178600.0 5305000.0        9118000.0 16510000.0 2755000.0 32500.0 34800000.0 20120000.0 60570000.0 5572000.0 5995.0 1537.0 98750000.0 4537.0 3805.0 7522.0
-1.0 0.0002 0.3 1.0 81480.0 465700.0 14710000.0 7780000.0 826600.0 2659000.0 6529000.0 80710.0 191500.0 113600.0 12170000.0 102100.0 67180.0 4973.0 31.42 540500.0 4631000.0        7305000.0 13220000.0 2133000.0 30200.0 27830000.0 14950000.0 45010000.0 2557000.0 4325.0 2353.0 79640000.0 6943.0 20300.0 14530.0
-1.0 0.0002 0.3 2.0 81290.0 462600.0 14700000.0 7763000.0 827500.0 2635000.0 6469000.0 79500.0 512000.0 304000.0 11930000.0 105400.0 69380.0 4941.0 31.29 503900.0 4639000.0        7371000.0 13340000.0 2125000.0 30190.0 28080000.0 14990000.0 45120000.0 2864000.0 4361.0 2250.0 80300000.0 6639.0 18910.0 14590.0
-1.0 0.0002 0.3 3.0 79640.0 447300.0 14420000.0 7596000.0 829900.0 2529000.0 6208000.0 75050.0 511600.0 312600.0 11110000.0 103200.0 67600.0 4925.0 31.72 338100.0 4579000.0        7439000.0 13460000.0 2069000.0 30280.0 28350000.0 14810000.0 44570000.0 3928000.0 4449.0 1763.0 80770000.0 5204.0 12080.0 14100.0
-1.0 0.0002 0.3 4.0 81040.0 434200.0 14330000.0 7525000.0 832400.0 2416000.0 5931000.0 70440.0 409600.0 320900.0 10170000.0 100500.0 65340.0 4724.0 31.41 129600.0 4509000.0        7443000.0 13500000.0 2030000.0 30450.0 28450000.0 14330000.0 43150000.0 4836000.0 4483.0 1330.0 80890000.0 3924.0 3364.0 6650.0
-1.0 0.0002 0.5 1.0 81120.0 450200.0 7637000.0 5025000.0 777600.0 1945000.0 4783000.0 75040.0 43390.0 25730.0 7639000.0 53750.0 35680.0 5305.0 32.64 352900.0 4144000.0        6225000.0 11290000.0 1508000.0 28780.0 23770000.0 10130000.0 30480000.0 2153000.0 3023.0 2013.0 68220000.0 5941.0 18440.0 13200.0
-1.0 0.0002 0.5 2.0 80920.0 448200.0 7633000.0 5002000.0 778500.0 1932000.0 4751000.0 74210.0 116400.0 69090.0 7514000.0 55770.0 37340.0 5267.0 32.49 331700.0 4160000.0        6291000.0 11400000.0 1506000.0 28770.0 24020000.0 10180000.0 30630000.0 2418000.0 3054.0 1942.0 68880000.0 5730.0 17220.0 13280.0
-1.0 0.0002 0.5 3.0 79280.0 433000.0 7468000.0 4852000.0 780500.0 1853000.0 4556000.0 70050.0 118000.0 72030.0 7003000.0 54460.0 36380.0 5248.0 32.91 227600.0 4112000.0        6363000.0 11530000.0 1467000.0 28850.0 24290000.0 10070000.0 30300000.0 3388000.0 3109.0 1559.0 69390000.0 4602.0 11030.0 12870.0
-1.0 0.0002 0.5 4.0 80700.0 417800.0 7365000.0 4734000.0 782400.0 1758000.0 4323000.0 65310.0 94170.0 73620.0 6370000.0 52620.0 34960.0 5025.0 32.57 88370.0 4040000.0        6368000.0 11560000.0 1431000.0 28990.0 24380000.0 9723000.0 29260000.0 4274000.0 3126.0 1193.0 69480000.0 3520.0 3071.0 6070.0
-1.0 0.0005 0.1 1.0 124100.0 579800.0 30490000.0 14660000.0 614500.0 3955000.0 9552000.0 151400.0 996200.0 593400.0 25950000.0 293600.0 173500.0 3559.0 18.57 2499000.0 8620000.0        7580000.0 13620000.0 3811000.0 20150.0 28680000.0 34340000.0 103300000.0 2770000.0 11240.0 10660.0 81370000.0 31450.0 47830.0 34220.0
-1.0 0.0005 0.1 2.0 123400.0 575300.0 30460000.0 14640000.0 615400.0 3913000.0 9449000.0 149000.0 2011000.0 1198000.0 25380000.0 307500.0 181100.0 3552.0 18.57 2294000.0 8623000.0        7639000.0 13730000.0 3790000.0 20160.0 28900000.0 34380000.0 103500000.0 3060000.0 11330.0 9981.0 81990000.0 29450.0 44350.0 34240.0
-1.0 0.0005 0.1 3.0 118100.0 566200.0 30290000.0 14560000.0 617900.0 3831000.0 9252000.0 144800.0 2003000.0 1230000.0 24250000.0 305100.0 179300.0 3562.0 19.13 1471000.0 8593000.0        7701000.0 13850000.0 3747000.0 20250.0 29160000.0 34270000.0 103200000.0 3919000.0 11640.0 7293.0 82440000.0 21520.0 28270.0 33140.0
-1.0 0.0005 0.1 4.0 119800.0 563200.0 30660000.0 14720000.0 620900.0 3772000.0 9116000.0 141000.0 1648000.0 1314000.0 23010000.0 303200.0 177700.0 3484.0 18.91 532100.0 8574000.0        7711000.0 13890000.0 3770000.0 20420.0 29290000.0 33690000.0 101400000.0 4605000.0 11810.0 5034.0 82620000.0 14860.0 7871.0 15600.0
-1.0 0.0005 0.3 1.0 123500.0 491400.0 9835000.0 4998000.0 523500.0 2751000.0 6688000.0 117700.0 342500.0 204000.0 14810000.0 137400.0 86670.0 3861.0 19.56 1381000.0 6269000.0        4984000.0 8975000.0 2500000.0 17650.0 18900000.0 20780000.0 62550000.0 1789000.0 7520.0 6833.0 53830000.0 20170.0 36690.0 26250.0
-1.0 0.0005 0.3 2.0 122700.0 487200.0 9831000.0 4989000.0 524400.0 2724000.0 6621000.0 116300.0 703600.0 419100.0 14550000.0 143800.0 90450.0 3853.0 19.54 1290000.0 6288000.0        5042000.0 9079000.0 2491000.0 17670.0 19110000.0 20870000.0 62810000.0 1985000.0 7592.0 6519.0 54420000.0 19240.0 34170.0 26380.0
-1.0 0.0005 0.3 3.0 117400.0 475600.0 9762000.0 4943000.0 526200.0 2648000.0 6435000.0 112600.0 704000.0 431900.0 13840000.0 143300.0 89790.0 3859.0 20.1 859000.0 6266000.0        5110000.0 9203000.0 2453000.0 17740.0 19380000.0 20810000.0 62640000.0 2649000.0 7765.0 4991.0 54950000.0 14730.0 21930.0 25670.0
-1.0 0.0005 0.3 4.0 119100.0 465400.0 9795000.0 4945000.0 528200.0 2564000.0 6235000.0 108100.0 574500.0 456600.0 12940000.0 142000.0 88610.0 3760.0 19.85 315600.0 6213000.0        5122000.0 9241000.0 2437000.0 17880.0 19480000.0 20330000.0 61200000.0 3264000.0 7840.0 3534.0 55110000.0 10430.0 6112.0 12110.0
-1.0 0.0005 0.5 1.0 122900.0 457100.0 4558000.0 3007000.0 463500.0 1911000.0 4670000.0 101900.0 71840.0 42780.0 8690000.0 63810.0 42960.0 4278.0 20.83 766300.0 5044000.0        3642000.0 6573000.0 1637000.0 15980.0 13840000.0 12580000.0 37870000.0 1283000.0 4825.0 4890.0 39610000.0 14430.0 30270.0 21650.0
-1.0 0.0005 0.5 2.0 122100.0 453700.0 4557000.0 2992000.0 464200.0 1895000.0 4631000.0 101100.0 150500.0 89600.0 8562000.0 66740.0 45080.0 4267.0 20.8 719800.0 5067000.0        3687000.0 6654000.0 1634000.0 15990.0 14010000.0 12650000.0 38080000.0 1427000.0 4875.0 4697.0 40060000.0 13860.0 28240.0 21790.0
-1.0 0.0005 0.5 3.0 116900.0 442100.0 4505000.0 2929000.0 465600.0 1838000.0 4491000.0 97610.0 152500.0 93470.0 8136000.0 66380.0 44680.0 4267.0 21.35 487500.0 5052000.0        3744000.0 6757000.0 1608000.0 16060.0 14230000.0 12620000.0 38000000.0 1954000.0 4960.0 3680.0 40510000.0 10860.0 18160.0 21250.0
-1.0 0.0005 0.5 4.0 118600.0 430100.0 4489000.0 2881000.0 467200.0 1767000.0 4318000.0 93070.0 124100.0 98210.0 7554000.0 65520.0 43910.0 4136.0 21.04 182500.0 4999000.0        3756000.0 6790000.0 1588000.0 16180.0 14320000.0 12300000.0 37030000.0 2478000.0 5003.0 2675.0 40650000.0 7895.0 5071.0 10040.0
